Date,Home Team,Home Score,Away Team,Away Score
2015-11-02,Meadville,47,Bucklin with Macon County,25
2015-11-20,SLUH,59,Christian Brothers College,66
2015-11-20,Windsor,61,Lakeland,31
2015-11-20,Dora,40,Lutie,43
2015-11-20,Slater,62,Northwest (Hughesville),30
2015-11-20,Madison,45,Pilot Grove,51
2015-11-20,Delta,18,Scott County Central,84
2015-11-20,St. Mary's South Side,74,Soldan International Studies,82
2015-11-20,Community,43,Sturgeon,52
2015-11-21,Notre Dame (Cape Girardeau),37,Father Tolton,62
2015-11-21,Sturgeon,49,Lincoln,63
2015-11-21,Logan-Rogersville,50,Rolla,76
2015-11-21,Hallsville,55,Salem,78
2015-11-23,Windsor,64,Adrian,67
2015-11-23,Northwestern (Mendon),79,Atlanta,44
2015-11-23,West Platte,31,Bishop LeBlond,61
2015-11-23,Arcadia Valley,92,Bismarck,52
2015-11-23,Marion County,68,Brashear,42
2015-11-23,Tina-Avalon,67,Braymer,70
2015-11-23,Keytesville,51,Bucklin with Macon County,55
2015-11-23,John F. Kennedy,41,Crystal City,54
2015-11-23,Lone Jack,57,Drexel,50
2015-11-23,Highland,61,Elsberry,49
2015-11-23,Greenfield,64,Everton,54
2015-11-23,Forsyth,60,Fair Grove,82
2015-11-23,St. Francis Borgia,85,Fatima,58
2015-11-23,Higbee,44,Fayette,58
2015-11-23,Seckman,57,Festus,69
2015-11-23,West County,69,Fredericktown,26
2015-11-23,Linn County,67,Grundy County with Newtown-Harris,39
2015-11-23,Mercer,72,Hale with Bosworth,26
2015-11-23,Northwest (Cedar Hill),37,Hermann,49
2015-11-23,St. Elizabeth,45,Jamestown,54
2015-11-23,Ellington,58,Lesterville,25
2015-11-23,Plattsburg,54,Lexington,48
2015-11-23,Eldon,43,Linn,73
2015-11-23,Dora,40,Lutie,43
2015-11-23,Richland,52,Mansfield,63
2015-11-23,Washington,40,McCluer North,64
2015-11-23,Humansville,75,Niangua,57
2015-11-23,Cardinal Ritter,72,Normandy Collaborative,57
2015-11-23,Novinger,70,Putnam County,69
2015-11-23,Ladue Horton Watkins,76,Ritenour,57
2015-11-23,DeSoto,56,Salem,75
2015-11-23,Otterville,42,Santa Fe,64
2015-11-23,Concordia,54,Smithton,61
2015-11-23,Mound City,63,South Holt,71
2015-11-23,Lawson,57,Summit Christian Academy,54
2015-11-23,Exeter,27,Thomas Jefferson Independent Day,68
2015-11-23,Laquey,31,Tuscumbia,60
2015-11-23,North Nodaway,54,Union Star,15
2015-11-23,Tipton,43,Versailles,60
2015-11-23,Northeast Vernon County,27,Weaubleau,72
2015-11-23,Bronaugh,55,Wheatland,57
2015-11-23,Barat Academy,75,Wright City,50
2015-11-24,Northeast Nodaway,33,Albany,42
2015-11-24,Northeast Vernon County,18,Appleton City,61
2015-11-24,Crane,66,Ash Grove,54
2015-11-24,Neosho,48,Aurora,61
2015-11-24,Gainesville,39,Bakersfield,47
2015-11-24,Kingsville,50,Ballard,25
2015-11-24,Lift for Life Academy Charter,84,Bayless,50
2015-11-24,Pleasant Hope,64,Buffalo,51
2015-11-24,Winona,67,Bunker,46
2015-11-24,Stewartsville with Osborn,64,Cainsville with Ridgeway,62
2015-11-24,Macon,44,Cameron,43
2015-11-24,Knox County,77,Canton,70
2015-11-24,University Academy Charter,54,Center,73
2015-11-24,North Kansas City,42,Central (St. Joseph),61
2015-11-24,Sturgeon,57,Centralia,66
2015-11-24,Billings,81,Chadwick,47
2015-11-24,Vienna,56,Chamois,46
2015-11-24,Tipton,83,Chilhowee,66
2015-11-24,Penney,78,Chillicothe,75
2015-11-24,Scotland County,49,Clark County,38
2015-11-24,South Iron,51,Clearwater,40
2015-11-24,Hazelwood West,65,Cleveland NJROTC,60
2015-11-24,East Newton,69,Clever,83
2015-11-24,Laquey,31,Climax Springs,49
2015-11-24,Knob Noster,47,Clinton,61
2015-11-24,Osage,55,Cole Camp,66
2015-11-24,Wellsville-Middletown,72,Community,53
2015-11-24,McKinley Classical Leadership,48,Confluence Prep Academy Charter,66
2015-11-24,Wright City,56,Crystal City,79
2015-11-24,Niangua,41,Dadeville,59
2015-11-24,Fairfax,29,DeKalb,59
2015-11-24,South Pemiscot,88,Delta (Deering),56
2015-11-24,Galena,88,Exeter,23
2015-11-24,Cassville,31,Fair Grove,83
2015-11-24,Carnahan,64,Fatima,61
2015-11-24,Bismarck,62,Fredericktown,59
2015-11-24,Ft. Zumwalt East,26,Ft. Zumwalt North,62
2015-11-24,Ft. Zumwalt West,50,Ft. Zumwalt South,61
2015-11-24,Senath-Hornersville,70,Gideon,74
2015-11-24,Bronaugh,64,Golden City,41
2015-11-24,Father Tolton,93,Hallsville,45
2015-11-24,Bowling Green,51,Hannibal,54
2015-11-24,Meadville,43,Hardin-Central,51
2015-11-24,Marquand-Zion,49,Herculaneum,44
2015-11-24,Concordia,31,Holden,65
2015-11-24,Spokane,62,Hollister,58
2015-11-24,Cuba,50,Houston,42
2015-11-24,Miami (Amoret),36,Hume,44
2015-11-24,Fordland,58,Hurley,46
2015-11-24,South Harrison,39,Jefferson (Conception),59
2015-11-24,Barat Academy,50,John F. Kennedy,17
2015-11-24,Highland,59,Kirksville,63
2015-11-24,Calhoun,62,La Monte,68
2015-11-24,Lexington,31,Lathrop,47
2015-11-24,McAuley Catholic,71,Liberal,33
2015-11-24,Crocker,39,Licking,58
2015-11-24,Everton,38,Lockwood,63
2015-11-24,Mt. Vernon,50,Logan-Rogersville,62
2015-11-24,Trinity Catholic,53,Lutheran St. Charles,81
2015-11-24,Northeast (Cairo),67,Madison,42
2015-11-24,Troy Buchanan,39,Marquette,44
2015-11-24,Smith-Cotton,67,Marshall,28
2015-11-24,Tarkio with Fairfax,29,Maysville,41
2015-11-24,Confluence Prep Academy Charter,66,McKinley Classical Leadership,48
2015-11-24,Chaffee,38,Meadow Heights,63
2015-11-24,Fulton,68,Mexico,54
2015-11-24,Walnut Grove,78,Miller,34
2015-11-24,Lakeland,62,Montrose,29
2015-11-24,Calvary Lutheran,45,New Bloomfield,83
2015-11-24,Blue Eye,58,New Covenant Academy,40
2015-11-24,Fayette,56,New Franklin,51
2015-11-24,Belle,45,New Haven,28
2015-11-24,Thomas Jefferson Independent Day,66,New Heights Christian,57
2015-11-24,Princeton,80,North Harrison,21
2015-11-24,South Nodaway with Jefferson (Conception),49,North Nodaway,50
2015-11-24,Lutheran (Kansas City),20,North Platte,62
2015-11-24,Bevier,62,North Shelby,38
2015-11-24,Prairie Home,70,Northwest (Hughesville),50
2015-11-24,Winnetonka,57,Oak Park,56
2015-11-24,Norborne,68,Orrick,45
2015-11-24,Gilman City with North Daviess,56,Osborn,54
2015-11-24,Newburg,47,Owensville,45
2015-11-24,Mark Twain,54,Paris with Faith Walk,72
2015-11-24,Gallatin,57,Pattonsburg,38
2015-11-24,O'Hara,74,Pembroke Hill,64
2015-11-24,Norwood,42,Plato,46
2015-11-24,Butler,51,Pleasant Hill,49
2015-11-24,Greenwood,37,Purdy,53
2015-11-24,Jasper,53,Rich Hill,75
2015-11-24,Excelsior Springs,51,Richmond,58
2015-11-24,Stewartsville with Osborn,64,Ridgeway,62
2015-11-24,Hermitage,70,Russellville,53
2015-11-24,Crest Ridge,50,Sacred Heart,62
2015-11-24,Fox,53,Seckman,69
2015-11-24,Ava,52,Seymour,47
2015-11-24,El Dorado Springs,44,Sherwood,80
2015-11-24,Glasgow,69,Slater,27
2015-11-24,Pilot Grove,77,Smithton,86
2015-11-24,St. Mary's South Side,74,Soldan International Studies,82
2015-11-24,Schuyler County,56,South Shelby,55
2015-11-24,Diamond,49,Southwest (Washburn),50
